image_id,phototype,mean_r,mean_g,mean_b,median_r,median_g,median_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_lab_b,std_l,std_a,std_lab_b,ita,b_to_a_ratio,rg_ratio,rb_ratio,undertone
IMG_00552,Medium,200.035,150.421,119.474,200.991,150.123,118.898,4.031,6.968,4.252,4.192,71.497,171.927,67.422,17.81,12.675,5.018,1.835,2.353,53.963,0.7117,1.3298,1.6743,Cool
IMG_01222,Medium,180.295,145.909,106.209,179.948,144.605,106.464,6.986,9.761,5.045,8.426,72.536,162.74,63.819,12.692,16.844,3.665,1.917,3.247,39.367,1.3271,1.2357,1.6976,Neutral
IMG_00044,Fair,231.174,186.06,143.913,231.592,186.55,141.87,5.373,5.406,3.638,13.034,108.379,209.246,82.057,14.177,17.789,5.657,1.471,2.699,60.973,1.2548,1.2425,1.6064,Warm
IMG_00260,Fair,218.034,178.602,126.114,218.761,180.05,124.281,5.688,9.391,3.728,14.286,98.658,194.326,76.206,16.051,24.029,5.375,2.259,1.766,47.482,1.4971,1.2208,1.7289,Warm
IMG_00116,Fair,203.298,163.512,114.094,205.217,164.919,114.538,6.314,9.801,4.371,15.04,93.027,180.642,70.84,14.702,21.183,5.824,1.922,3.51,44.532,1.4409,1.2433,1.7818,Warm
IMG_00586,Fair,211.339,163.354,150.616,211.065,163.059,151.152,4.765,6.18,10.582,7.955,84.693,191.146,74.959,12.493,8.993,4.358,1.992,2.827,70.185,0.7199,1.2937,1.4032,Cool
IMG_01047,Tan,133.356,108.438,73.247,132.275,110.963,73.225,6.703,9.746,8.127,12.765,73.081,117.344,46.017,13.087,14.281,4.109,1.949,1.834,-15.583,1.0912,1.2298,1.8206,Neutral
IMG_00079,Deep,113.12,82.887,45.844,113.181,83.092,45.574,6.437,4.066,6.522,17.021,87.105,87.034,34.131,13.497,17.268,2.694,2.798,2.1,-42.582,1.2795,1.3647,2.4675,Warm
IMG_00050,Tan,141.385,122.311,69.328,140.758,122.269,69.609,5.91,4.273,6.16,21.058,88.469,122.88,48.188,12.362,22.878,3.149,1.882,1.807,-4.528,1.8507,1.1559,2.0394,Warm
IMG_00368,Medium,205.396,169.142,112.072,206.713,169.364,112.615,6.45,9.365,4.043,15.196,137.983,183.968,72.144,13.609,23.078,5.524,1.79,2.742,43.817,1.6958,1.2143,1.8327,Warm
IMG_01055,Fair,226.363,183.797,140.44,226.506,183.226,139.654,4.68,7.579,9.659,11.107,91.644,203.272,79.715,15.374,18.155,5.446,1.266,3.642,58.576,1.1809,1.2316,1.6118,Neutral
IMG_01030,Medium,183.631,140.588,104.666,181.421,140.766,101.628,7.598,7.144,7.586,10.973,106.141,158.061,61.985,17.018,15.829,3.326,1.603,3.198,37.13,0.9301,1.3062,1.7545,Neutral
IMG_00625,Fair,206.53,153.416,128.696,205.918,152.694,127.626,10.194,8.488,8.262,6.984,57.146,181.75,71.275,16.056,11.919,3.549,3.291,3.721,60.74,0.7424,1.3462,1.6048,Cool
IMG_00391,Medium,179.051,151.846,109.142,180.42,150.43,109.883,6.919,9.614,6.462,14.28,87.085,165.308,64.826,10.428,18.25,3.34,1.677,2.182,39.09,1.7501,1.1792,1.6405,Warm
IMG_00317,Fair,197.781,183.744,128.151,198.259,182.7,130.805,5.373,9.155,8.697,16.737,87.692,194.153,76.138,8.375,20.155,4.223,2.809,2.271,52.364,2.4065,1.0764,1.5434,Warm
IMG_01007,Fair,218.038,175.933,124.226,216.672,176.909,124.148,11.873,9.839,10.038,13.343,92.518,192.93,75.659,14.02,20.341,3.209,2.927,3.413,51.594,1.4509,1.2393,1.7552,Neutral
IMG_00870,Medium,187.086,135.322,115.872,188.049,135.857,115.104,6.975,6.727,9.759,8.412,98.114,160.001,62.745,17.071,9.757,4.638,1.336,3.69,52.564,0.5716,1.3825,1.6146,Cool
IMG_01033,Medium,176.581,136.352,99.043,178.773,136.765,101.185,11.346,10.476,10.59,12.03,65.9,152.747,59.901,14.742,16.605,4.918,2.484,2.736,30.805,1.1264,1.295,1.7829,Neutral
IMG_00359,Medium,175.933,137.647,105.707,175.454,138.231,106.314,10.46,4.265,6.48,15.785,80.872,153.676,60.265,11.084,13.911,3.347,2.51,3.439,36.423,1.255,1.2781,1.6643,Warm
IMG_01002,Fair,234.96,173.602,145.196,235.208,171.87,144.617,4.052,4.555,6.672,12.552,117.309,205.74,80.682,18.26,13.988,5.209,1.848,2.827,65.491,0.7661,1.3534,1.6182,Neutral
IMG_00395,Fair,210.943,175.518,127.114,208.714,173.821,128.189,4.864,3.988,7.917,14.469,118.497,194.366,76.222,13.959,23.018,4.083,2.907,2.525,48.723,1.649,1.2018,1.6595,Warm
IMG_00234,Medium,178.962,149.407,93.539,179.672,149.398,93.281,7.094,4.064,4.604,18.851,75.071,160.993,63.135,12.346,21.785,3.192,1.406,3.568,31.087,1.7646,1.1978,1.9132,Warm
IMG_00068,Medium,169.989,139.056,96.7,169.92,139.823,95.328,10.951,7.494,3.728,17.914,103.922,148.913,58.397,13.08,20.715,5.724,2.786,2.959,22.066,1.5837,1.2224,1.7579,Warm
IMG_00297,Deep,98.035,68.954,35.275,98.492,68.42,34.194,6.806,8.91,9.524,12.288,94.908,76.194,29.88,14.06,15.358,2.614,2.043,2.171,-52.645,1.0923,1.4217,2.7791,Warm
IMG_00169,Medium,160.221,133.044,90.008,161.843,133.382,90.292,6.741,9.553,4.662,14.724,119.647,145.198,56.94,11.825,19.101,2.331,2.314,1.986,19.968,1.6153,1.2043,1.7801,Warm
IMG_00868,Medium,173.647,133.205,102.553,173.233,132.677,101.583,5.378,3.971,8.535,10.427,59.628,153.118,60.046,12.846,14.225,3.854,3.111,1.457,35.232,1.1074,1.3036,1.6932,Cool
IMG_00935,Medium,179.719,145.23,96.448,175.984,145.489,97.847,8.298,3.63,10.652,14.497,66.477,155.04,60.8,14.686,18.314,5.379,1.799,2.803,30.528,1.247,1.2375,1.8634,Neutral
IMG_01058,Tan,146.977,101.234,68.115,145.544,101.282,66.844,10.731,3.747,10.811,13.793,75.96,115.693,45.37,15.722,14.089,4.593,2.195,2.833,-18.193,0.8962,1.4519,2.1578,Neutral
IMG_00052,Tan,129.877,100.686,63.356,132.032,101.029,63.757,4.732,9.642,5.492,14.785,106.393,110.43,43.306,11.669,20.143,2.518,3.244,3.685,-18.384,1.7262,1.2899,2.05,Warm
IMG_00266,Fair,224.797,190.282,138.067,225.781,189.201,136.91,4.9,8.651,5.563,14.49,69.212,206.515,80.986,12.164,20.968,4.556,1.984,3.794,55.914,1.7238,1.1814,1.6282,Warm
IMG_00197,Fair,217.072,183.532,118.134,219.354,183.826,118.268,6.728,9.921,6.549,20.293,81.084,196.314,76.986,13.67,25.714,2.573,2.844,1.963,46.382,1.8811,1.1827,1.8375,Warm
IMG_00902,Deep,115.61,88.121,52.161,118.999,89.742,53.257,8.012,5.234,8.639,9.791,94.035,97.928,38.403,12.88,15.119,4.817,2.023,3.491,-37.489,1.1738,1.3119,2.2164,Neutral
IMG_00033,Deep,133.195,100.811,46.454,136.535,98.878,46.275,5.939,4.304,8.08,14.324,84.838,107.597,42.195,17.063,21.208,3.155,2.537,1.601,-20.205,1.2429,1.3212,2.8673,Warm
IMG_00923,Fair,220.06,178.352,133.59,217.969,175.741,133.222,7.546,6.083,8.523,12.216,85.734,199.754,78.335,15.243,19.284,5.753,1.397,2.051,55.762,1.2651,1.2339,1.6473,Neutral
IMG_00553,Tan,150.792,110.6,84.947,150.427,112.993,84.599,9.721,7.977,8.478,9.418,79.326,126.594,49.645,14.766,11.541,3.657,1.302,3.24,-1.764,0.7816,1.3634,1.7751,Cool
IMG_00904,Fair,231.819,190.847,136.387,231.581,191.668,136.549,4.097,5.517,3.569,13.85,103.213,207.986,81.563,14.14,20.519,2.92,2.165,1.516,56.972,1.4512,1.2147,1.6997,Neutral
IMG_01252,Medium,171.089,131.591,103.687,170.954,132.418,103.512,8.166,9.216,9.885,10.614,75.198,151.191,59.291,16.921,12.553,2.942,2.579,3.425,36.505,0.7419,1.3002,1.6501,Neutral
IMG_00164,Medium,178.224,150.524,99.504,176.545,151.275,100.566,11.425,10.004,6.064,15.227,123.141,158.922,62.322,13.819,20.546,4.111,1.687,3.789,30.953,1.4868,1.184,1.7911,Warm
IMG_00886,Medium,166.594,117.473,111.76,167.783,117.905,112.259,6.358,7.356,8.206,7.468,75.397,141.955,55.669,15.651,4.858,3.925,3.103,3.365,49.404,0.3104,1.4181,1.4906,Cool
IMG_00221,Medium,171.923,142.216,98.63,170.562,143.692,101.295,10.87,9.501,9.235,15.001,112.824,155.315,60.908,11.897,19.643,2.587,2.788,3.657,29.044,1.6511,1.2089,1.7431,Warm
IMG_00940,Deep,109.462,70.236,38.882,108.533,70.53,39.918,6.203,3.623,7.645,12.809,49.812,80.588,31.603,15.159,17.61,4.314,2.181,1.388,-46.252,1.1617,1.5585,2.8152,Neutral
IMG_00619,Deep,117.699,64.333,47.331,116.728,65.033,46.242,11.41,9.205,5.924,4.256,92.212,80.672,31.636,19.091,8.93,5.929,2.83,1.362,-64.068,0.4678,1.8295,2.4868,Cool
IMG_00102,Medium,177.442,139.62,92.589,179.023,141.177,92.561,9.682,5.7,7.034,16.428,88.643,152.827,59.932,14.775,21.109,5.287,2.256,2.13,25.198,1.4287,1.2709,1.9164,Warm
IMG_00276,Fair,228.123,181.827,133.314,227.763,180.751,133.577,9.014,4.523,9.673,19.065,110.108,203.571,79.832,14.403,21.309,2.94,2.7,2.254,54.462,1.4795,1.2546,1.7112,Warm
IMG_00722,Tan,130.471,92.207,66.467,130.527,92.669,63.218,4.941,4.731,9.31,8.045,80.601,109.005,42.747,15.117,13.017,4.055,1.224,2.951,-29.127,0.861,1.415,1.9629,Cool
IMG_00731,Tan,163.439,109.41,84.068,161.14,108.174,84.232,11.183,4.547,9.695,7.585,60.878,130.559,51.2,18.535,11.567,3.165,3.06,3.593,5.921,0.6241,1.4938,1.9441,Cool
IMG_01308,Medium,189.952,136.965,100.56,190.464,138.144,101.731,11.065,4.541,10.521,8.18,73.971,158.75,62.255,18.268,18.613,3.402,2.073,2.403,33.362,1.0189,1.3869,1.8889,Neutral
IMG_00890,Tan,139.932,92.879,71.283,139.962,92.902,69.462,6.011,9.952,10.445,9.363,94.191,110.7,43.412,17.094,11.77,5.195,3.458,3.297,-29.237,0.6886,1.5066,1.963,Cool
IMG_00428,Medium,188.898,156.733,113.242,187.072,157.895,113.721,6.196,9.269,3.54,10.971,80.913,171.893,67.409,10.043,18.562,4.259,1.98,2.039,43.164,1.8483,1.2052,1.6681,Warm
IMG_01042,Medium,182.026,127.781,102.47,182.389,129.848,104.254,5.603,5.223,10.647,12.491,94.378,151.329,59.345,17.718,15.391,2.541,1.64,2.293,31.264,0.8687,1.4245,1.7764,Neutral
IMG_00375,Fair,202.206,169.67,107.359,200.958,169.651,108.536,7.516,3.971,6.985,13.934,78.244,178.388,69.956,12.63,26.692,5.283,2.613,3.364,36.783,2.1135,1.1918,1.8835,Warm
IMG_00209,Tan,137.517,100.463,63.452,136.806,100.745,61.993,5.479,3.917,8.033,17.269,70.807,106.88,41.914,17.343,18.983,5.055,2.404,1.79,-23.074,1.0945,1.3688,2.1672,Warm
IMG_00193,Tan,151.231,120.111,72.007,151.957,121.45,73.271,6.165,4.069,10.944,18.601,103.672,127.668,50.066,15.641,18.567,2.625,3.473,3.741,0.204,1.1871,1.2591,2.1002,Warm
IMG_00716,Medium,182.73,137.557,108.152,181.375,139.567,107.919,6.841,6.97,10.027,9.053,63.755,154.698,60.666,16.22,11.705,5.103,1.393,3.515,42.34,0.7217,1.3284,1.6896,Cool
IMG_01025,Medium,180.817,144.962,107.186,182.727,143.985,107.591,4.603,3.843,9.782,10.832,115.884,159.59,62.584,12.376,16.369,3.959,3.074,2.014,37.553,1.3226,1.2473,1.6869,Neutral
IMG_01219,Tan,136.018,98.992,70.131,134.931,99.04,69.535,10.28,4.152,10.119,16.487,89.439,118.279,46.384,11.508,14.973,4.683,3.213,3.786,-13.577,1.3011,1.374,1.9395,Neutral
IMG_00064,Tan,170.546,125.271,90.229,172.202,125.24,91.637,9.865,4.421,8.869,15.62,110.906,142.818,56.007,15.873,19.884,5.636,1.613,1.818,16.809,1.2527,1.3614,1.8901,Warm
IMG_01106,Fair,216.195,174.603,127.748,216.924,173.575,126.602,8.567,9.407,10.405,11.817,70.202,193.034,75.7,15.151,18.75,3.943,2.671,1.208,53.886,1.2375,1.2382,1.6924,Neutral
IMG_00941,Fair,221.814,158.659,122.431,222.542,160.215,122.489,6.74,10.126,4.038,10.771,95.086,182.912,71.73,22.355,17.02,3.945,2.573,1.844,51.93,0.7613,1.3981,1.8118,Neutral
IMG_00582,Medium,192.472,139.515,115.413,191.86,139.737,118.294,4.547,3.588,10.237,10.538,61.251,163.666,64.183,16.074,12.787,4.325,2.009,1.805,47.963,0.7955,1.3796,1.6677,Cool
IMG_00883,Tan,145.527,95.415,83.972,146.791,96.744,82.646,8.056,4.55,5.973,7.146,85.341,113.855,44.649,17.986,8.433,2.548,2.867,1.617,-32.397,0.4688,1.5252,1.733,Cool
IMG_00045,Tan,143.226,111.653,62.093,141.505,112.35,60.264,7.065,7.132,3.852,19.455,76.932,117.615,46.123,14.659,23.241,2.665,2.897,1.415,-9.47,1.5854,1.2828,2.3066,Warm
IMG_00629,Fair,214.403,173.226,147.256,217.904,173.801,147.279,10.8,10.472,7.311,9.451,69.947,194.01,76.082,13.777,11.554,3.381,1.628,1.212,66.108,0.8386,1.2377,1.456,Cool
IMG_00219,Fair,226.882,185.255,133.224,227.519,187.202,133.25,10.127,8.342,10.742,12.276,105.075,202.886,79.563,15.229,19.848,3.574,1.501,2.946,56.123,1.3033,1.2247,1.703,Warm
IMG_00848,Tan,132.674,92.416,76.498,131.92,89.822,75.992,10.306,8.507,9.956,7.961,75.662,111.377,43.677,15.53,9.329,2.038,3.423,2.088,-34.128,0.6007,1.4356,1.7344,Cool
IMG_01071,Fair,214.423,168.987,142.312,212.962,170.421,140.6,8.141,7.644,9.266,13.834,68.691,194.135,76.131,15.469,14.532,2.361,2.987,2.664,60.921,0.9394,1.2689,1.5067,Neutral
IMG_00910,Medium,178.291,131.979,100.128,177.984,131.595,99.48,6.316,9.731,4.797,13.835,63.244,147.436,57.818,17.746,12.907,5.691,2.402,3.06,31.205,0.7273,1.3509,1.7806,Neutral
IMG_00459,Fair,216.709,164.615,141.117,217.215,165.584,141.256,7.948,4.938,9.029,9.265,81.995,190.846,74.842,17.064,11.086,4.799,1.766,3.549,65.951,0.6496,1.3165,1.5357,Cool
IMG_00465,Tan,165.93,118.18,105.12,164.572,119.245,106.337,10.263,8.724,8.035,9.045,71.027,140.737,55.191,16.409,9.837,4.745,1.242,2.011,27.821,0.5995,1.404,1.5785,Cool
IMG_00255,Fair,196.954,165.782,122.472,197.971,165.958,122.087,6.532,4.109,5.774,16.329,91.306,186.045,72.959,10.043,19.352,5.866,3.373,2.071,49.872,1.927,1.188,1.6082,Warm
IMG_01095,Medium,171.058,128.146,92.289,172.948,129.899,93.703,10.119,6.996,8.942,9.706,92.268,149.252,58.53,15.173,16.096,4.021,2.564,3.178,27.921,1.0608,1.3349,1.8535,Neutral
IMG_00528,Fair,240.918,177.689,146.969,240.638,177.937,146.682,6.946,3.819,5.752,7.654,73.961,203.221,79.694,17.894,13.518,4.124,2.139,1.912,65.523,0.7555,1.3558,1.6392,Cool
IMG_00433,Deep,97.176,82.793,38.176,96.318,81.96,38.669,8.377,3.785,5.863,15.156,105.441,80.729,31.658,9.865,17.823,4.302,3.386,3.434,-45.822,1.8067,1.1737,2.5455,Warm
IMG_00800,Tan,145.306,103.62,82.783,146.597,103.809,82.865,10.451,8.137,5.958,12.269,94.667,117.996,46.273,15.545,11.694,3.504,3.263,1.245,-17.677,0.7523,1.4023,1.7553,Cool
IMG_01040,Deep,100.509,73.556,34.948,101.743,72.695,35.741,4.391,9.819,7.123,12.717,79.873,79.132,31.032,14.062,17.054,3.124,2.848,3.503,-48.041,1.2128,1.3664,2.8759,Neutral
IMG_00803,Fair,223.005,175.848,142.97,223.552,176.052,139.44,11.731,6.041,3.967,9.781,77.157,200.384,78.582,16.746,11.746,5.59,1.287,3.677,67.66,0.7014,1.2682,1.5598,Cool
IMG_01066,Medium,177.88,145.842,99.659,179.812,144.409,100.854,10.365,3.758,8.51,11.246,63.876,159.4,62.51,13.666,17.984,4.599,3.364,3.055,34.822,1.316,1.2197,1.7849,Neutral
IMG_01255,Medium,169.708,130.992,99.334,169.6,127.455,101.079,5.706,5.873,7.348,8.651,82.078,144.664,56.731,13.551,14.592,4.551,2.449,2.43,24.762,1.0769,1.2956,1.7085,Neutral
IMG_00507,Medium,186.839,141.68,118.763,185.14,140.034,118.683,8.202,4.958,7.435,5.337,93.234,163.517,64.124,17.251,10.782,4.22,2.908,1.772,52.644,0.625,1.3187,1.5732,Cool
IMG_00421,Fair,197.141,168.815,112.584,198.691,167.274,113.398,10.143,3.784,4.422,15.69,92.574,181.408,71.14,13.543,25.164,2.812,2.124,3.399,40.034,1.8581,1.1678,1.751,Warm
IMG_01234,Medium,175.033,128.024,104.817,175.805,128.119,104.645,10.682,9.685,6.621,9.73,72.999,152.581,59.836,13.798,13.847,3.384,1.333,3.619,35.387,1.0036,1.3672,1.6699,Neutral
IMG_01117,Fair,208.863,175.685,129.566,211.883,174.864,127.387,11.203,6.812,9.93,11.02,125.572,193.579,75.913,10.169,15.904,5.709,1.413,1.449,58.461,1.564,1.1888,1.612,Neutral
IMG_00717,Fair,210.711,149.878,131.352,209.995,149.914,130.634,11.561,10.032,5.191,7.898,74.205,180.666,70.849,19.053,11.512,4.458,1.264,3.623,61.095,0.6042,1.4059,1.6042,Cool
IMG_01028,Tan,149.964,103.607,73.647,152.292,104.665,74.327,6.811,9.736,4.11,10.826,67.942,117.765,46.182,15.128,15.754,3.865,2.984,1.358,-13.622,1.0414,1.4474,2.0363,Neutral
IMG_00480,Tan,131.534,93.948,76.247,132.5,93.624,74.579,8.029,9.758,10.523,4.39,87.118,110.378,43.285,12.27,11.26,5.229,2.662,1.99,-30.81,0.9177,1.4001,1.7251,Cool
IMG_00416,Medium,187.928,132.704,100.333,189.96,135.024,100.641,4.542,8.565,9.545,13.535,81.412,156.583,61.405,19.066,17.928,3.158,2.727,2.309,32.463,0.9403,1.4161,1.8731,Warm
IMG_00439,Tan,145.557,115.13,68.97,145.908,116.783,68.957,10.843,3.723,4.071,16.634,85.254,126.52,49.616,13.246,20.265,3.096,1.66,1.803,-1.087,1.5299,1.2643,2.1104,Warm
IMG_00680,Tan,173.011,123.951,97.512,171.834,123.177,96.636,4.673,4.769,7.068,9.771,92.411,142.409,55.847,15.404,13.153,4.614,1.535,1.682,23.966,0.8539,1.3958,1.7743,Cool
IMG_00611,Tan,169.328,124.169,95.183,169.478,123.965,95.085,6.589,6.869,7.975,3.103,82.374,143.176,56.147,16.646,15.438,3.149,2.563,1.974,21.713,0.9275,1.3637,1.779,Cool
IMG_00778,Fair,209.628,145.24,125.309,209.679,145.357,124.998,4.586,7.699,7.449,3.929,51.688,175.644,68.88,20.9,13.303,4.065,3.208,1.734,54.831,0.6365,1.4433,1.6729,Cool
IMG_00728,Fair,212.144,158.046,130.333,213.115,158.032,130.861,4.405,9.748,5.203,8.867,74.608,180.198,70.666,18.884,12.612,4.214,2.682,1.638,58.605,0.6679,1.3423,1.6277,Cool
IMG_01051,Tan,173.649,129.494,93.73,172.301,129.139,91.445,5.009,6.922,7.414,10.542,78.482,144.325,56.598,13.326,18.679,2.808,3.352,1.791,19.456,1.4017,1.341,1.8526,Neutral
IMG_00824,Fair,198.268,153.923,124.264,199.306,155.012,125.572,9.864,7.772,4.775,11.524,80.308,177.465,69.594,16.316,12.372,5.621,1.661,3.773,57.731,0.7583,1.2881,1.5955,Cool
IMG_01326,Fair,209.712,162.181,123.336,208.92,162.851,124.25,8.419,10.416,9.45,15.269,81.512,184.682,72.424,16.52,17.373,3.522,2.524,2.821,52.233,1.0516,1.2931,1.7003,Neutral
IMG_00561,Medium,164.681,116.103,90.586,164.876,114.946,90.078,8.063,9.171,9.793,5.481,86.897,137.078,53.756,15.742,11.426,5.639,2.371,3.005,18.197,0.7258,1.4184,1.8179,Cool
IMG_00185,Tan,128.79,99.667,63.261,127.35,99.316,63.444,4.561,6.267,4.863,15.365,75.753,106.474,41.755,16.536,17.677,2.627,3.103,1.309,-25.006,1.069,1.2922,2.0359,Warm
IMG_00248,Tan,149.91,103.623,78.069,149.445,103.486,78.335,5.07,10.048,9.136,18.885,90.962,118.711,46.553,17.193,14.445,5.765,2.756,2.145,-13.42,0.8402,1.4467,1.9202,Warm
IMG_00568,Medium,191.479,137.937,113.643,192.247,136.033,113.394,4.788,10.356,5.72,8.425,91.229,162.781,63.836,16.655,11.758,5.484,1.209,1.255,49.641,0.706,1.3882,1.6849,Cool
IMG_00066,Tan,139.632,116.252,72.608,142.124,116.166,72.564,10.753,9.14,7.89,19.302,110.304,124.993,49.017,10.076,18.351,5.473,1.673,1.491,-3.067,1.8213,1.2011,1.9231,Warm
IMG_01158,Medium,190.584,149.899,102.487,192.958,149.343,102.973,11.589,4.755,8.563,10.656,99.818,163.08,63.953,17.61,18.918,4.306,1.597,1.372,36.41,1.0743,1.2714,1.8596,Neutral
IMG_00789,Medium,188.097,121.34,103.0,187.692,121.182,103.126,8.207,5.125,3.857,10.855,114.678,150.54,59.035,20.67,13.714,4.29,1.972,1.673,33.379,0.6635,1.5502,1.8262,Cool
IMG_00354,Fair,186.818,164.652,109.206,184.808,163.328,110.191,9.199,3.673,9.577,16.074,99.835,174.228,68.325,10.75,20.303,4.146,1.84,1.36,42.068,1.8886,1.1346,1.7107,Warm
IMG_00310,Fair,212.016,170.452,114.013,212.071,170.404,112.328,8.225,4.388,7.944,16.546,96.406,186.09,72.977,15.763,22.592,3.93,2.632,1.226,45.483,1.4332,1.2438,1.8596,Warm
IMG_00245,Medium,173.854,139.134,95.428,174.902,139.098,96.541,9.046,6.69,7.115,15.281,100.05,152.732,59.895,11.705,20.835,5.031,1.848,2.027,25.403,1.7801,1.2495,1.8218,Warm
IMG_00918,Medium,181.636,139.597,104.795,181.27,142.305,104.988,4.605,5.505,4.161,13.086,85.589,158.005,61.963,15.416,15.883,5.438,2.559,3.545,36.986,1.0303,1.3011,1.7332,Neutral
IMG_00579,Fair,241.187,186.381,164.218,240.948,186.457,163.685,10.818,7.71,10.706,5.634,99.543,219.966,86.261,15.366,11.015,4.681,1.603,2.432,73.103,0.7168,1.2941,1.4687,Cool
IMG_00909,Medium,155.409,122.465,96.757,155.805,122.42,95.54,4.262,5.228,10.848,11.435,89.431,140.07,54.929,12.202,12.035,5.315,2.57,3.616,22.274,0.9863,1.269,1.6062,Neutral
IMG_00866,Medium,186.078,131.913,106.874,185.378,132.268,106.169,4.431,7.513,8.664,12.158,88.636,154.264,60.496,16.936,11.013,3.305,2.611,1.336,43.621,0.6503,1.4106,1.7411,Cool
IMG_01084,Tan,159.136,112.497,84.969,157.29,110.994,84.744,6.859,8.925,8.387,11.28,92.182,132.046,51.783,14.161,16.355,2.938,1.536,2.836,6.222,1.1549,1.4146,1.8729,Neutral
IMG_00059,Tan,135.987,108.411,55.138,135.226,109.606,54.806,7.442,4.904,7.187,17.081,76.447,112.767,44.223,14.211,22.161,2.257,2.539,1.899,-14.612,1.5594,1.2544,2.4663,Warm
IMG_00414,Fair,186.328,158.585,107.751,186.997,158.377,107.228,6.018,9.175,10.604,15.995,85.215,167.108,65.533,9.178,17.04,2.544,2.345,1.757,42.351,1.8566,1.1749,1.7292,Warm
IMG_01233,Fair,204.409,167.76,125.728,204.793,168.394,127.691,5.369,6.34,6.764,13.416,61.429,182.861,71.71,14.156,19.715,5.93,3.153,3.109,47.758,1.3927,1.2185,1.6258,Neutral
IMG_00238,Fair,236.274,191.937,145.687,236.203,193.089,146.242,8.2,8.451,5.391,12.702,93.347,212.404,83.296,15.721,20.051,3.787,1.484,1.736,58.943,1.2755,1.231,1.6218,Warm
IMG_00651,Fair,248.919,186.694,154.071,248.733,186.894,151.61,9.502,6.799,10.073,8.611,59.603,217.446,85.273,20.608,12.951,3.775,1.855,3.53,69.838,0.6285,1.3333,1.6156,Cool
IMG_00024,Medium,163.095,130.554,81.506,163.685,131.969,80.943,11.287,9.258,10.623,16.752,128.771,141.728,55.58,11.83,20.322,4.903,2.611,2.287,15.353,1.7179,1.2492,2.001,Warm
IMG_00679,Medium,191.411,132.74,112.162,193.11,133.965,111.452,5.631,4.809,7.168,3.156,60.457,161.017,63.144,19.121,11.792,5.192,2.509,3.522,48.104,0.6167,1.442,1.7066,Cool
