image_path,source_dataset,original_label,undertone_label,face_detected,quality_score,total_sampled_pixels,mean_r,mean_g,mean_b,median_r,median_g,median_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_lab_b,std_l,std_a,std_lab_b,ita,b_to_a_ratio,rg_ratio,rb_ratio
swatch_FENTY_BEAUTY_by_Rihanna_#D4A577,pudding_foundation_shades,FENTY BEAUTY by Rihanna - 290 for medium to tan skin with war,warm,True,95.0,80,211.537,164.562,118.237,212.0,164.5,118.0,2.92,2.583,2.435,14.938,112.45,211.537,70.931,11.425,30.613,0.689,1.902,1.736,34.362,2.6794,1.2855,1.7891
swatch_ColourPop_#EEE2D8,pudding_foundation_shades,ColourPop - Fair 05W (warm),warm,True,95.0,80,237.213,225.213,215.463,237.0,225.0,216.0,2.814,2.365,2.252,13.537,23.45,237.213,90.368,2.487,6.25,0.635,1.718,1.512,81.199,2.5126,1.0533,1.1009
swatch_Yves_Saint_Laurent_#C29D8A,pudding_foundation_shades,Yves Saint Laurent - B30 Light neutral underton,neutral,True,95.0,80,193.912,156.412,138.062,194.0,156.5,138.0,3.127,2.592,2.405,9.838,73.412,193.912,67.48,11.188,14.9,0.728,1.963,1.648,49.556,1.3318,1.2398,1.4045
swatch_TOM_FORD_#D1B393,pudding_foundation_shades,"TOM FORD - 6.0 Natural medium, warm golden und",warm,True,95.0,80,207.825,178.287,146.425,208.0,178.0,146.0,2.915,2.42,2.317,15.6,75.338,207.825,74.52,5.95,20.212,0.734,1.619,1.618,50.5,3.3971,1.1657,1.4193
swatch_Juvia's_Place_#F3C7A0,pudding_foundation_shades,Juvia's Place - 600 Cairo (for light skin w/ neutra,neutral,True,95.0,80,242.75,198.488,159.075,243.0,199.0,159.0,2.532,2.408,2.499,14.113,87.862,242.75,83.044,10.325,25.663,0.611,1.808,1.533,52.167,2.4855,1.223,1.526
swatch_Charlotte_Tilbury_#EEC49C,pudding_foundation_shades,Charlotte Tilbury - 8 Warm for medium skin with warm un,warm,True,95.0,80,237.775,195.938,155.762,238.0,196.0,156.0,2.872,2.244,2.628,14.738,87.95,237.775,81.887,9.35,25.775,0.605,1.711,1.565,51.051,2.7567,1.2135,1.5265
swatch_Tarte_#EBC8AE,pudding_foundation_shades,Tarte - 13N Fair Neutral (fair skin w/ neut,neutral,True,95.0,80,234.713,198.887,173.713,235.0,199.0,174.0,2.589,2.51,2.399,12.475,66.275,234.713,82.711,8.988,17.312,0.66,1.624,1.411,62.11,1.9263,1.1801,1.3512
swatch_jane_iredale_#E1BEA1,pudding_foundation_shades,jane iredale - Riviera (medium/dark w/ peach/gold ,warm,True,95.0,80,224.575,189.713,160.562,224.0,190.0,161.0,2.863,2.198,2.876,13.7,72.662,224.575,79.23,8.162,19.375,0.646,1.691,1.698,56.462,2.3737,1.1838,1.3987
swatch_L'Oréal_#F2C897,pudding_foundation_shades,L'Oréal - Golden Vanilla,warm,True,95.0,80,242.162,199.325,150.512,242.0,199.0,151.0,2.552,2.285,2.0,15.95,96.475,242.162,83.064,8.738,30.175,0.623,1.587,1.212,47.615,3.4535,1.2149,1.6089
swatch_Yves_Saint_Laurent_#C7A28F,pudding_foundation_shades,Yves Saint Laurent - BR50 Medium/tan neutral to pink und,neutral,True,95.0,80,198.575,161.175,142.3,198.0,161.5,142.0,2.448,2.479,2.736,10.05,72.275,198.575,69.25,10.988,15.025,0.676,1.778,1.589,52.027,1.3675,1.232,1.3955
swatch_MILK_MAKEUP_#F0D6BF,pudding_foundation_shades,MILK MAKEUP - Fair fair with pink undertone - Sel,cool,True,95.0,80,239.988,213.85,190.662,239.5,213.5,191.0,3.043,2.34,2.475,14.1,52.35,239.988,87.196,5.5,14.838,0.665,1.696,1.512,68.253,2.6977,1.1222,1.2587
swatch_Clinique_#D2A991,pudding_foundation_shades,Clinique - Stay Golden,warm,True,95.0,80,209.488,168.8,144.75,210.0,168.5,145.0,2.971,2.446,2.755,11.162,78.763,209.488,72.275,11.463,18.062,0.686,1.823,1.72,50.961,1.5758,1.241,1.4472
swatch_Clinique_#F9C096,pudding_foundation_shades,"Clinique - WN 04 Bone (very fair, warm-neutral",neutral,True,95.0,80,248.713,191.625,149.637,249.0,192.0,150.0,2.812,2.619,2.526,12.713,101.6,248.713,81.828,15.15,29.05,0.688,1.776,1.482,47.613,1.9175,1.2979,1.6621
swatch_Beauty_Bakerie_#F8EAE1,pudding_foundation_shades,Beauty Bakerie - 359 Cool,cool,True,95.0,80,247.412,233.162,224.488,248.0,233.0,224.5,2.957,2.624,2.475,13.675,23.775,247.412,93.358,3.375,5.9,0.694,1.72,1.736,82.251,1.7481,1.0611,1.1021
swatch_Wander_Beauty_#EBCCAA,pudding_foundation_shades,"Wander Beauty - Medium medium with warm, subtle oli",warm,True,95.0,80,234.65,203.338,169.45,235.0,203.0,169.0,2.735,2.247,2.85,15.575,70.812,234.65,83.681,6.0,21.025,0.631,1.565,1.651,58.026,3.5042,1.154,1.3848
swatch_COVER_FX_#DFB69D,pudding_foundation_shades,COVER FX - N25 (light skin w/ neutral underton,neutral,True,95.0,80,222.575,181.213,156.312,223.0,181.0,156.0,3.177,2.649,2.75,11.262,75.875,222.575,76.873,11.3,18.4,0.739,1.799,1.881,55.6,1.6283,1.2283,1.4239
swatch_Juvia's_Place_#B06B34,pudding_foundation_shades,Juvia's Place - 430 Rio (for tan skin w/ golden oli,warm,True,95.0,80,175.588,106.438,51.538,176.0,107.0,52.0,3.149,2.64,2.66,13.35,180.175,175.588,51.686,22.812,41.413,0.758,2.074,1.571,2.332,1.8153,1.6497,3.407
swatch_BECCA_Cosmetics_#754127,pudding_foundation_shades,BECCA Cosmetics - Coconut 5W4 (dark to deep auburn w/,warm,True,95.0,80,116.525,64.688,38.212,116.0,65.0,38.0,3.198,2.557,2.223,10.1,171.3,116.525,33.255,19.9,25.6,0.814,2.125,1.67,-33.189,1.2864,1.8014,3.0494
swatch_ULTA_#E4C0A0,pudding_foundation_shades,ULTA - Medium to Tan Warm,warm,True,95.0,80,228.175,190.963,159.375,229.0,191.0,159.0,2.664,2.342,2.395,13.75,76.838,228.175,79.853,8.738,20.938,0.599,1.801,1.552,54.956,2.3963,1.1949,1.4317
swatch_Anastasia_Beverly_Hills_#4A2D23,pudding_foundation_shades,Anastasia Beverly Hills - 560W (deep skin with a warm beige u,warm,True,95.0,80,73.287,44.263,34.4,73.5,44.0,35.0,2.466,2.458,2.677,7.562,135.262,73.287,21.49,12.137,12.025,0.719,2.132,1.823,-67.131,0.9907,1.6557,2.1305
swatch_NUDESTIX_#E3BDAC,pudding_foundation_shades,NUDESTIX - Nude 2.5 (light neutral warm),neutral,True,95.0,80,226.637,188.6,171.75,227.0,188.5,172.0,3.042,2.442,2.442,9.175,61.7,226.637,79.387,11.113,13.637,0.715,1.605,1.607,65.106,1.2272,1.2017,1.3196
swatch_Bobbi_Brown_#CC9F7B,pudding_foundation_shades,Bobbi Brown - Golden brown with yellow undertones,warm,True,95.0,80,203.188,158.262,122.237,204.0,158.0,122.0,2.816,2.223,2.287,13.287,101.537,203.188,68.564,11.875,25.212,0.663,1.654,1.602,36.364,2.1232,1.2839,1.6622
swatch_ULTA_#DCA783,pudding_foundation_shades,ULTA - Light To Medium Cool,cool,True,95.0,80,219.8,166.488,130.238,220.0,166.5,130.0,3.092,2.35,2.384,12.075,103.875,219.8,72.466,14.95,26.375,0.684,1.774,1.544,40.424,1.7642,1.3202,1.6877
swatch_ZOEVA_#9F4221,pudding_foundation_shades,ZOEVA - 400C Spirited (deep cool red tone),cool,True,95.0,80,158.775,65.513,32.788,159.0,66.0,33.0,2.515,2.393,2.36,7.825,202.35,158.775,40.132,36.913,38.1,0.682,1.425,1.29,-14.52,1.0322,2.4236,4.8425
swatch_SMITH_&_CULT_#D98D4E,pudding_foundation_shades,SMITH & CULT - 340 Warm (tan skin w/ warm yellow u,warm,True,95.0,80,217.3,140.287,77.95,217.5,140.0,78.0,3.164,2.362,2.196,13.375,163.525,217.3,65.196,23.475,44.712,0.683,1.91,1.543,18.771,1.9047,1.549,2.7877
swatch_bareMinerals_#E6B9A2,pudding_foundation_shades,bareMinerals - Cashew 3.5 (light neutral skin w/ p,neutral,True,95.0,80,229.1,184.463,162.15,229.5,184.0,163.0,2.857,2.318,2.34,10.037,74.487,229.1,78.392,12.863,17.425,0.675,1.603,1.376,58.461,1.3547,1.242,1.4129
swatch_COVER_FX_#EAC4AC,pudding_foundation_shades,COVER FX - N20 (fair to light skin w/ neutral ,neutral,True,95.0,80,233.137,195.438,171.75,233.0,195.5,172.0,2.397,2.418,2.562,11.6,67.088,233.137,81.662,9.912,16.913,0.618,1.667,1.675,61.891,1.7062,1.1929,1.3574
swatch_KVD_Vegan_Beauty_#C7855F,pudding_foundation_shades,KVD Vegan Beauty - Medium 64 N (tan taupe with neutral,neutral,True,95.0,80,198.188,132.812,94.425,198.0,133.0,94.0,2.702,2.145,2.263,11.075,133.488,198.188,61.343,20.938,30.837,0.629,1.584,1.487,20.195,1.4728,1.4922,2.0989
swatch_It_Cosmetics_#D9A681,pudding_foundation_shades,It Cosmetics - Medium Neutral 33 (medium complexio,neutral,True,95.0,80,216.525,165.562,128.838,217.0,166.0,129.0,2.806,2.738,2.233,12.625,103.2,216.525,71.873,14.062,26.2,0.718,1.919,1.639,39.856,1.8631,1.3078,1.6806
swatch_Clinique_#F9F9F9,pudding_foundation_shades,"Clinique - 34 Light (very fair, cool-neutral u",neutral,True,95.0,80,248.975,248.525,248.475,249.0,249.0,248.5,2.646,2.729,2.495,89.0,4.388,250.875,97.848,0.138,0.05,0.723,1.808,1.548,89.88,0.3636,1.0018,1.002
swatch_Dior_#E0AF96,pudding_foundation_shades,"Dior - 2 Warm light skin, warm yellow unde",warm,True,95.0,80,223.875,174.637,149.762,223.5,174.5,150.0,2.542,2.441,2.551,10.062,84.35,223.875,75.25,14.537,19.7,0.614,1.844,1.669,52.039,1.3551,1.2819,1.4949
swatch_NARS_#A57061,pudding_foundation_shades,NARS - Khartoum for deep skin with red und,cool,True,95.0,80,164.488,111.275,96.287,165.0,111.0,96.0,2.797,2.434,2.684,6.6,105.763,164.488,52.137,19.2,16.925,0.731,1.792,1.869,7.197,0.8815,1.4782,1.7083
swatch_Tarte_#793223,pudding_foundation_shades,Tarte - Rich Honey (deeper skin w/ peach un,warm,True,95.0,80,121.125,49.087,34.812,121.0,49.0,34.5,2.736,2.298,2.259,4.9,181.713,121.125,30.456,30.387,24.562,0.668,1.647,1.642,-38.509,0.8083,2.4675,3.4794
swatch_MAC_#ECCFA5,pudding_foundation_shades,MAC - NC5 (very fair beige w/ golden unde,warm,True,95.0,80,234.863,206.412,164.562,235.0,206.0,164.0,2.611,2.677,2.484,17.925,76.4,234.863,84.358,3.888,24.525,0.693,1.823,1.658,54.48,6.3087,1.1378,1.4272
swatch_Tarte_#D9A98A,pudding_foundation_shades,Tarte - 32N medium neutral,neutral,True,95.0,80,216.125,167.787,137.113,216.0,168.0,137.0,2.68,2.311,2.48,11.675,93.237,216.125,72.51,13.662,22.725,0.664,1.612,1.525,44.727,1.6633,1.2881,1.5763
data/raw/personal_color_faces/train/여름 쿨톤/irene.jpg,personal_color_faces,Summer Cool Tone,cool,True,82.0,1920,159.923,143.998,143.81,161.0,137.0,140.0,21.368,25.105,28.498,79.386,31.707,160.81,61.099,6.015,2.385,9.253,2.721,2.755,77.873,0.3965,1.1106,1.112
swatch_Maybelline_#E1A58D,pudding_foundation_shades,Maybelline - Light Honey 242,warm,True,95.0,80,224.275,164.463,140.037,224.0,164.0,140.0,2.975,2.574,2.261,8.7,95.688,224.275,72.632,18.975,21.325,0.709,1.91,1.49,46.704,1.1238,1.3637,1.6015
swatch_NARS_#E2AF8C,pudding_foundation_shades,NARS - Vallauris (medium skin w/ pink unde,cool,True,95.0,80,225.188,174.287,139.863,225.0,175.0,140.0,2.807,2.254,2.349,12.137,96.638,225.188,75.083,14.025,24.837,0.688,1.71,1.364,45.282,1.7709,1.292,1.6101
data/raw/personal_color_faces/train/가을 웜톤/jenn.JPG,personal_color_faces,Autumn Warm Tone,warm,True,62.0,36775,213.626,164.656,129.896,218.0,170.0,133.0,19.78,29.963,32.126,12.605,102.065,213.626,71.323,13.788,25.273,9.937,5.512,4.773,40.154,1.833,1.2974,1.6446
swatch_MAKE_UP_FOR_EVER_#8D633E,pudding_foundation_shades,MAKE UP FOR EVER - R530 Brown for dark skin with sligh,cool,True,95.0,80,140.825,98.8,61.85,141.0,99.0,61.0,2.832,2.31,2.409,14.05,142.925,140.825,45.525,12.588,27.625,0.713,1.708,1.52,-9.202,2.1946,1.4254,2.2769
data/raw/personal_color_faces/train/여름 쿨톤/smr (2).png,personal_color_faces,Summer Cool Tone,cool,True,72.0,880,219.193,192.152,181.683,220.0,193.0,183.0,9.899,10.737,10.17,8.388,43.676,219.193,79.795,7.897,8.793,3.738,1.991,1.472,73.557,1.1135,1.1407,1.2065
swatch_boscia_#E6C4AF,pudding_foundation_shades,boscia - Venice soft seashell with neutral u,neutral,True,95.0,80,229.525,195.475,174.775,229.0,196.0,175.0,2.535,2.372,2.692,11.312,60.825,229.525,81.387,8.95,14.875,0.653,1.702,1.784,64.643,1.662,1.1742,1.3133
swatch_Urban_Decay_Cosmetics_#BA9672,pudding_foundation_shades,Urban Decay Cosmetics - 31NN (light neutral w/ neutral unde,neutral,True,95.0,80,185.45,149.45,113.625,186.0,149.0,114.0,2.636,2.307,2.571,15.062,98.713,185.45,64.387,8.55,24.062,0.688,1.702,1.77,30.876,2.8143,1.2409,1.6321
swatch_Too_Faced_#E7BF92,pudding_foundation_shades,Too Faced - Nude (very light w/ rosy undertones,cool,True,95.0,80,230.45,190.1,145.6,231.0,190.0,145.0,3.004,2.746,2.508,15.725,93.875,230.45,79.574,8.35,27.938,0.762,1.865,1.727,46.629,3.3458,1.2123,1.5828
swatch_Too_Faced_#EDAF84,pudding_foundation_shades,Too Faced - Vanilla (very light with neutral un,neutral,True,95.0,80,236.287,174.713,131.6,236.0,175.0,132.0,2.873,2.254,2.267,12.387,112.975,236.287,76.181,17.312,30.875,0.629,1.722,1.461,40.297,1.7834,1.3524,1.7955
swatch_Laura_Mercier_#E9B684,pudding_foundation_shades,Laura Mercier - Shell (fair with cool undertones),cool,True,95.0,80,232.213,181.45,131.588,232.0,181.0,131.5,2.818,2.296,2.558,14.838,110.525,232.213,77.402,12.062,32.4,0.586,1.826,1.53,40.223,2.686,1.2798,1.7647
swatch_bareMinerals_#D2A288,pudding_foundation_shades,bareMinerals - Oak 20 for tan cool skin with rosy ,cool,True,95.0,80,209.4,161.65,135.35,210.0,162.0,135.5,3.044,2.47,2.346,10.713,90.188,209.4,70.299,14.075,20.512,0.695,1.849,1.533,44.7,1.4574,1.2954,1.5471
swatch_Dermablend_#DAA764,pudding_foundation_shades,Dermablend - 40N Golden Beige (medium skin tones,neutral,True,95.0,80,218.037,166.662,99.688,218.0,167.0,100.0,3.437,2.454,2.478,16.938,138.363,218.037,71.853,11.262,41.612,0.752,1.862,1.545,27.706,3.6948,1.3083,2.1872
swatch_Morphe_#BF8063,pudding_foundation_shades,Morphe - F2.120 Neutral (medium w/ slightly ,neutral,True,95.0,80,190.575,126.938,98.3,190.0,127.0,98.0,2.845,2.551,2.605,9.262,123.487,190.575,59.118,21.325,25.625,0.732,1.889,1.742,19.586,1.2016,1.5013,1.9387
swatch_NYX_Professional_Makeup_#6A4A39,pudding_foundation_shades,NYX Professional Makeup - Cocoa (deep deep w/ neutral underto,neutral,True,95.0,80,105.213,73.575,56.337,105.0,74.0,56.0,2.853,2.654,2.418,10.613,118.388,105.213,34.289,11.137,15.688,0.813,2.218,1.861,-45.042,1.4085,1.43,1.8675
swatch_bareMinerals_#98644A,pudding_foundation_shades,bareMinerals - Warm Deep 27 for deep warm skin wit,warm,True,95.0,80,151.312,99.013,73.662,151.0,99.0,74.0,2.879,2.369,2.515,9.85,130.812,151.312,47.039,18.188,23.012,0.67,1.911,1.757,-7.331,1.2653,1.5282,2.0541
swatch_bareMinerals_#A76D4F,pudding_foundation_shades,bareMinerals - Medium Dark 23 for deep neutral ski,neutral,True,95.0,80,166.088,108.287,78.45,166.0,109.0,78.0,2.367,2.604,2.23,10.225,134.562,166.088,51.289,19.712,26.137,0.756,1.712,1.579,2.824,1.3259,1.5338,2.1171
swatch_NYX_Professional_Makeup_#E5B798,pudding_foundation_shades,NYX Professional Makeup - Vanilla (vanilla w/ neutral underto,neutral,True,95.0,80,228.1,182.662,151.575,228.0,183.0,152.0,3.304,2.162,2.519,12.225,85.6,228.1,77.627,12.162,22.038,0.635,1.771,1.691,51.422,1.8119,1.2488,1.5049
swatch_HUDA_BEAUTY_#A07A5D,pudding_foundation_shades,HUDA BEAUTY - 540G Chocolate Truffle rich skin wi,warm,True,95.0,80,159.863,121.925,93.013,160.0,122.0,93.0,2.765,2.548,2.576,13.025,106.662,159.863,54.235,10.9,21.512,0.705,1.94,1.466,11.138,1.9736,1.3112,1.7187
swatch_MILK_MAKEUP_#846355,pudding_foundation_shades,MILK MAKEUP - Rich very deep with neutral underto,neutral,True,95.0,80,131.262,98.513,84.537,132.0,98.0,85.0,2.974,2.334,2.868,8.912,90.7,131.262,44.755,11.15,13.125,0.68,1.994,1.996,-21.783,1.1771,1.3324,1.5527
swatch_MAKE_UP_FOR_EVER_#D0AF9B,pudding_foundation_shades,MAKE UP FOR EVER - R210 - Pink Alabaster for fair skin,cool,True,95.0,80,207.375,174.4,155.012,207.0,175.0,155.0,2.685,2.552,2.532,11.137,64.35,207.375,73.701,9.037,14.412,0.654,1.92,1.367,58.696,1.5947,1.1891,1.3378
data/raw/personal_color_faces/train/봄 웜톤/spr (24).jpg,personal_color_faces,Spring Warm Tone,warm,True,100.0,1727,232.1,201.287,177.651,233.0,202.0,177.0,7.624,10.768,13.343,12.86,60.025,232.1,83.123,7.287,15.954,3.512,2.756,3.588,64.282,2.1895,1.1531,1.3065
swatch_KVD_Vegan_Beauty_#9C552F,pudding_foundation_shades,KVD Vegan Beauty - Deep 67 C (deep cinnamon with cool ,cool,True,95.0,80,155.95,84.713,46.525,156.0,84.5,47.0,2.898,2.007,2.48,10.488,178.912,155.95,43.882,26.225,34.638,0.609,1.651,1.637,-10.016,1.3208,1.8409,3.352
swatch_Guerlain_#EBC2A6,pudding_foundation_shades,Guerlain - 035C beige cool,cool,True,95.0,80,234.588,194.188,164.6,235.0,194.0,165.0,2.365,2.688,2.503,12.7,76.088,234.588,81.343,10.15,20.3,0.738,1.621,1.684,57.07,2.0,1.208,1.4252
swatch_Tarte_#E8AD73,pudding_foundation_shades,Tarte - 27N Light-Medium Neutral (light to ,neutral,True,95.0,80,231.425,173.0,115.05,232.0,173.0,115.0,2.402,2.846,2.697,14.9,128.175,231.425,75.025,14.688,37.962,0.73,1.786,1.669,33.392,2.5847,1.3377,2.0115
swatch_COVER_FX_#DCA985,pudding_foundation_shades,COVER FX - G40 (medium skin w/ golden underton,warm,True,95.0,80,219.2,168.75,132.65,219.0,169.0,132.0,3.068,2.364,2.465,12.562,100.65,219.2,73.0,13.775,25.712,0.713,1.628,1.485,41.813,1.8666,1.299,1.6525
swatch_Tarte_#E6C2A8,pudding_foundation_shades,Tarte - 16N Fair-Light Neutral (fair to lig,neutral,True,95.0,80,230.012,193.425,167.188,230.0,194.0,167.0,2.653,2.484,2.242,12.575,69.625,230.012,80.775,9.188,18.075,0.696,1.644,1.539,59.573,1.9673,1.1892,1.3758
swatch_Charlotte_Tilbury_#EDCAA5,pudding_foundation_shades,Charlotte Tilbury - 7.5 Neutral for medium skin with ne,neutral,True,95.0,80,236.588,201.363,164.425,237.0,201.0,164.0,2.488,2.929,2.568,15.325,77.75,236.588,83.289,7.125,23.1,0.805,1.791,1.715,55.243,3.2421,1.1749,1.4389
swatch_Clinique_#D38F57,pudding_foundation_shades,"Clinique - WN 94 Deep Neutral (medium, warm-ne",neutral,True,95.0,80,210.4,142.675,86.838,211.0,143.0,87.0,2.606,2.534,2.363,13.637,149.688,210.4,65.02,19.913,39.725,0.586,2.026,1.525,20.711,1.995,1.4747,2.4229
swatch_Dermablend_#C88E6E,pudding_foundation_shades,Dermablend - 40W Medium Golden,warm,True,95.0,80,199.338,141.787,109.1,200.0,142.0,109.0,2.612,2.375,2.488,10.863,115.338,199.338,63.907,17.925,26.125,0.697,1.618,1.568,28.027,1.4575,1.4059,1.8271
swatch_bareMinerals_#D9A986,pudding_foundation_shades,bareMinerals - Desert 6.5 for tan neutral skin wit,neutral,True,95.0,80,216.05,168.975,134.15,216.0,169.0,134.0,2.544,2.258,2.34,12.738,96.6,216.05,72.76,12.625,24.6,0.638,1.544,1.562,42.775,1.9485,1.2786,1.6105
swatch_Yves_Saint_Laurent_#D6AA90,pudding_foundation_shades,Yves Saint Laurent - BR40 Cool Sand light/ medium. neutr,neutral,True,95.0,80,213.525,169.162,143.838,214.0,170.0,144.0,2.966,2.741,2.79,10.912,83.2,213.525,72.74,12.662,19.225,0.728,1.993,1.725,49.788,1.5183,1.2622,1.4845
swatch_Estée_Lauder_#D7A46B,pudding_foundation_shades,Estée Lauder - 2W0 Warm Vanilla (warm undertone go,warm,True,95.0,80,214.4,163.387,106.838,215.0,163.0,107.0,2.866,2.795,2.374,15.762,127.85,214.4,70.775,12.088,36.513,0.769,1.905,1.432,29.639,3.0207,1.3122,2.0068
swatch_Benefit_Cosmetics_#F1CB9E,pudding_foundation_shades,Benefit Cosmetics - Shade 2 (light/warm),warm,True,95.0,80,240.225,202.363,157.925,240.0,202.0,158.0,2.793,2.476,2.381,16.2,87.325,240.225,83.745,7.175,27.188,0.632,1.863,1.501,51.143,3.7892,1.1871,1.5211
swatch_KVD_Vegan_Beauty_#D18D60,pudding_foundation_shades,KVD Vegan Beauty - Tan 165 (tan golden),warm,True,95.0,80,208.125,140.238,95.625,208.0,140.0,96.0,2.947,2.441,2.266,11.912,137.838,208.125,64.294,21.038,34.112,0.647,2.009,1.475,22.735,1.6215,1.4841,2.1765
swatch_Laura_Mercier_#EBBC91,pudding_foundation_shades,Laura Mercier - Golden (light-medium with warm unde,warm,True,95.0,80,234.75,186.537,144.488,234.5,187.0,145.0,2.939,2.264,2.219,14.0,98.062,234.75,79.083,11.725,27.875,0.585,1.725,1.382,46.215,2.3774,1.2585,1.6247
swatch_HUDA_BEAUTY_#D4B08D,pudding_foundation_shades,HUDA BEAUTY - Crème Brulée 150G deep fair skin to,warm,True,95.0,80,211.387,175.15,140.5,211.0,175.0,141.0,2.93,2.388,2.49,14.675,85.525,211.387,73.931,8.188,22.675,0.71,1.644,1.563,46.544,2.7695,1.2069,1.5045
swatch_Anastasia_Beverly_Hills_#9B6B43,pudding_foundation_shades,Anastasia Beverly Hills - 365C (medium to tan skin with a coo,cool,True,95.0,80,154.75,106.5,66.45,155.0,106.5,66.0,2.457,2.588,2.524,13.575,145.488,154.75,49.235,14.713,29.913,0.749,1.879,1.797,-1.464,2.0331,1.4531,2.3288
swatch_bareMinerals_#F2B792,pudding_foundation_shades,bareMinerals - Neutral Ivory 06 (very light neutra,neutral,True,95.0,80,241.475,182.5,145.463,241.0,182.5,145.0,2.544,2.49,2.564,11.575,101.4,241.475,78.828,16.675,27.175,0.663,1.563,1.773,46.691,1.6297,1.3232,1.66
swatch_Too_Faced_#6D3A26,pudding_foundation_shades,Too Faced - Truffle (rich with golden undertone,warm,True,95.0,80,108.787,57.587,37.362,108.0,57.5,37.0,2.982,2.391,2.404,8.5,167.375,108.787,30.328,20.6,22.325,0.734,2.004,1.687,-41.385,1.0837,1.8891,2.9117
swatch_Urban_Decay_Cosmetics_#FCEEDE,pudding_foundation_shades,Urban Decay Cosmetics - 10NN (ultra-fair neutral with a neu,neutral,True,95.0,80,251.312,237.675,221.312,252.0,238.0,221.5,2.625,2.621,2.473,16.375,30.387,251.312,94.706,1.913,9.588,0.699,1.733,1.641,77.896,5.0131,1.0574,1.1356
data/raw/personal_color_faces/train/봄 웜톤/spr (10).PNG,personal_color_faces,Spring Warm Tone,warm,True,74.0,17975,221.09,184.128,170.659,223.0,188.0,176.0,8.695,12.843,15.285,7.986,58.459,221.09,77.731,11.282,11.849,4.153,3.445,3.042,66.863,1.0503,1.2007,1.2955
